Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2018-01-01,5038.54833984375,8300.0,8300.0,8300.0,8300.0,0,ASII.JK
2018-01-02,4977.8427734375,8200.0,8400.0,8150.0,8300.0,24661300,ASII.JK
2018-01-03,4886.78369140625,8050.0,8250.0,8000.0,8250.0,40976100,ASII.JK
2018-01-04,4993.01904296875,8225.0,8225.0,8050.0,8075.0,30604400,ASII.JK
2018-01-05,5038.54833984375,8300.0,8300.0,8125.0,8150.0,18885300,ASII.JK
2018-01-08,5038.54833984375,8300.0,8325.0,8200.0,8300.0,17178400,ASII.JK
2018-01-09,4962.66552734375,8175.0,8300.0,8150.0,8300.0,23323800,ASII.JK
2018-01-10,5023.37255859375,8275.0,8300.0,8175.0,8275.0,29616100,ASII.JK
2018-01-11,5008.1953125,8250.0,8275.0,8125.0,8275.0,19294700,ASII.JK
2018-01-12,4962.66552734375,8175.0,8250.0,8175.0,8200.0,15456000,ASII.JK
2018-01-15,4962.66552734375,8175.0,8200.0,8125.0,8175.0,12912900,ASII.JK
2018-01-16,4993.01904296875,8225.0,8250.0,8125.0,8200.0,25472200,ASII.JK
2018-01-17,4977.8427734375,8200.0,8300.0,8125.0,8150.0,44342900,ASII.JK
2018-01-18,5038.54833984375,8300.0,8300.0,8200.0,8275.0,41790200,ASII.JK
2018-01-19,5068.90087890625,8350.0,8350.0,8250.0,8300.0,28789700,ASII.JK
2018-01-22,5008.1953125,8250.0,8350.0,8200.0,8350.0,40680600,ASII.JK
2018-01-23,5175.13623046875,8525.0,8525.0,8250.0,8300.0,39074200,ASII.JK
2018-01-24,5296.54638671875,8725.0,8750.0,8450.0,8525.0,36840200,ASII.JK
2018-01-25,5296.54638671875,8725.0,8750.0,8625.0,8675.0,27585500,ASII.JK
2018-01-26,5235.8408203125,8625.0,8725.0,8500.0,8725.0,24505100,ASII.JK
2018-01-29,5251.017578125,8650.0,8675.0,8500.0,8650.0,17150200,ASII.JK
2018-01-30,5114.42919921875,8425.0,8650.0,8400.0,8650.0,23643200,ASII.JK
2018-01-31,5159.95947265625,8500.0,8700.0,8375.0,8400.0,29112000,ASII.JK
2018-02-01,5205.48779296875,8575.0,8750.0,8525.0,8525.0,31700800,ASII.JK
2018-02-02,5281.3701171875,8700.0,8750.0,8625.0,8700.0,24482800,ASII.JK
2018-02-05,5175.13623046875,8525.0,8650.0,8450.0,8500.0,23045600,ASII.JK
2018-02-06,5114.42919921875,8425.0,8475.0,8350.0,8350.0,33410900,ASII.JK
2018-02-07,5129.6064453125,8450.0,8600.0,8375.0,8500.0,31215400,ASII.JK
2018-02-08,5084.07763671875,8375.0,8525.0,8350.0,8500.0,28406900,ASII.JK
2018-02-09,4977.8427734375,8200.0,8350.0,8175.0,8250.0,64748600,ASII.JK
2018-02-12,4977.8427734375,8200.0,8300.0,8200.0,8300.0,20368800,ASII.JK
2018-02-13,5023.37255859375,8275.0,8300.0,8200.0,8200.0,30608200,ASII.JK
2018-02-14,5084.07763671875,8375.0,8375.0,8275.0,8275.0,24033700,ASII.JK
