Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2018-01-01,3530.62939453125,4380.0,4380.0,4380.0,4380.0,0,BBCA.JK
2018-01-02,3530.62939453125,4380.0,4505.0,4365.0,4380.0,82303500,BBCA.JK
2018-01-03,3530.62939453125,4380.0,4390.0,4265.0,4385.0,68214000,BBCA.JK
2018-01-04,3583.024169921875,4445.0,4445.0,4380.0,4380.0,76567000,BBCA.JK
2018-01-05,3587.054931640625,4450.0,4480.0,4435.0,4460.0,65268000,BBCA.JK
2018-01-08,3603.176513671875,4470.0,4515.0,4445.0,4450.0,57928000,BBCA.JK
2018-01-09,3631.389404296875,4505.0,4510.0,4490.0,4500.0,61213000,BBCA.JK
2018-01-10,3619.297607421875,4490.0,4545.0,4465.0,4505.0,47292000,BBCA.JK
2018-01-11,3659.602783203125,4540.0,4540.0,4460.0,4490.0,57569000,BBCA.JK
2018-01-12,3615.267333984375,4485.0,4545.0,4465.0,4540.0,66590500,BBCA.JK
2018-01-15,3623.32861328125,4495.0,4500.0,4460.0,4490.0,41875000,BBCA.JK
2018-01-16,3643.47998046875,4520.0,4535.0,4490.0,4490.0,50055000,BBCA.JK
2018-01-17,3570.932861328125,4430.0,4540.0,4430.0,4540.0,183003000,BBCA.JK
2018-01-18,3639.4501953125,4515.0,4520.0,4450.0,4450.0,84980500,BBCA.JK
2018-01-19,3619.297607421875,4490.0,4530.0,4480.0,4525.0,50450500,BBCA.JK
2018-01-22,3623.32861328125,4495.0,4515.0,4485.0,4510.0,81367500,BBCA.JK
2018-01-23,3651.541015625,4530.0,4540.0,4505.0,4530.0,68752000,BBCA.JK
2018-01-24,3639.4501953125,4515.0,4525.0,4500.0,4525.0,94254500,BBCA.JK
2018-01-25,3639.4501953125,4515.0,4530.0,4490.0,4510.0,53653500,BBCA.JK
2018-01-26,3659.602783203125,4540.0,4570.0,4505.0,4525.0,58121000,BBCA.JK
2018-01-29,3675.7236328125,4560.0,4565.0,4510.0,4560.0,114814500,BBCA.JK
2018-01-30,3675.7236328125,4560.0,4690.0,4530.0,4540.0,114055000,BBCA.JK
2018-01-31,3663.63232421875,4545.0,4580.0,4540.0,4560.0,106803000,BBCA.JK
2018-02-01,3768.421875,4675.0,4685.0,4570.0,4570.0,138208000,BBCA.JK
2018-02-02,3865.15234375,4795.0,4940.0,4720.0,4725.0,98474000,BBCA.JK
2018-02-05,3836.940185546875,4760.0,4805.0,4700.0,4750.0,49501500,BBCA.JK
2018-02-06,3792.60546875,4705.0,4735.0,4660.0,4690.0,117589500,BBCA.JK
2018-02-07,3788.574462890625,4700.0,4795.0,4695.0,4730.0,121947000,BBCA.JK
2018-02-08,3820.817138671875,4740.0,4760.0,4700.0,4710.0,68461000,BBCA.JK
2018-02-09,3800.66552734375,4715.0,4745.0,4670.0,4680.0,71076500,BBCA.JK
2018-02-12,3788.574462890625,4700.0,4760.0,4700.0,4760.0,38409500,BBCA.JK
2018-02-13,3836.940185546875,4760.0,4785.0,4750.0,4760.0,59406000,BBCA.JK
2018-02-14,3820.817138671875,4740.0,4775.0,4710.0,4745.0,75553000,BBCA.JK
2018-02-15,3780.51416015625,4690.0,4785.0,4690.0,4780.0,52958500,BBCA.JK
2018-02-16,3780.51416015625,4690.0,4690.0,4690.0,4690.0,0,BBCA.JK
2018-02-19,3909.48681640625,4850.0,4850.0,4730.0,4735.0,50185500,BBCA.JK
2018-02-20,3873.213134765625,4805.0,4840.0,4775.0,4820.0,34830000,BBCA.JK
2018-02-21,3873.213134765625,4805.0,4835.0,4745.0,4790.0,62499000,BBCA.JK
2018-02-22,3853.060546875,4780.0,4835.0,4750.0,4820.0,47217000,BBCA.JK
2018-02-23,3909.48681640625,4850.0,4895.0,4790.0,4805.0,82233000,BBCA.JK
2018-02-26,3792.60546875,4705.0,4845.0,4700.0,4830.0,85227500,BBCA.JK
2018-02-27,3796.6357421875,4710.0,4755.0,4660.0,4745.0,87429500,BBCA.JK
2018-02-28,3736.1796875,4635.0,4690.0,4615.0,4680.0,132869000,BBCA.JK
2018-03-01,3736.1796875,4635.0,4645.0,4620.0,4620.0,125474500,BBCA.JK
2018-03-02,3687.814208984375,4575.0,4625.0,4550.0,4615.0,151511000,BBCA.JK
2018-03-05,3687.814208984375,4575.0,4660.0,4575.0,4630.0,87744000,BBCA.JK
2018-03-06,3671.693115234375,4555.0,4640.0,4545.0,4635.0,75907000,BBCA.JK
2018-03-07,3643.47998046875,4520.0,4630.0,4505.0,4620.0,106152000,BBCA.JK
2018-03-08,3756.330810546875,4660.0,4680.0,4550.0,4600.0,102994500,BBCA.JK
2018-03-09,3756.330810546875,4660.0,4660.0,4595.0,4660.0,66797000,BBCA.JK
2018-03-12,3808.7265625,4725.0,4730.0,4670.0,4680.0,111180500,BBCA.JK
2018-03-13,3780.51416015625,4690.0,4740.0,4655.0,4720.0,80643000,BBCA.JK
2018-03-14,3772.453857421875,4680.0,4720.0,4645.0,4695.0,54505500,BBCA.JK
2018-03-15,3768.421875,4675.0,4685.0,4650.0,4680.0,60774500,BBCA.JK
2018-03-16,3764.39208984375,4670.0,4735.0,4600.0,4730.0,193122000,BBCA.JK
2018-03-19,3764.39208984375,4670.0,4675.0,4640.0,4660.0,74200000,BBCA.JK
2018-03-20,3752.30029296875,4655.0,4660.0,4600.0,4655.0,89683500,BBCA.JK
2018-03-21,3768.421875,4675.0,4705.0,4655.0,4670.0,67617500,BBCA.JK
2018-03-22,3780.51416015625,4690.0,4700.0,4670.0,4695.0,60791500,BBCA.JK
2018-03-23,3836.940185546875,4760.0,4760.0,4600.0,4600.0,62978000,BBCA.JK
2018-03-26,3752.30029296875,4655.0,4690.0,4640.0,4680.0,100407000,BBCA.JK
2018-03-27,3780.51416015625,4690.0,4755.0,4685.0,4730.0,66088000,BBCA.JK
2018-03-28,3760.36181640625,4665.0,4690.0,4630.0,4690.0,36212500,BBCA.JK
2018-03-29,3756.330810546875,4660.0,4665.0,4565.0,4630.0,77650500,BBCA.JK
2018-03-30,3756.330810546875,4660.0,4660.0,4660.0,4660.0,0,BBCA.JK
2018-04-02,3772.453857421875,4680.0,4695.0,4620.0,4690.0,37162500,BBCA.JK
2018-04-03,3772.453857421875,4680.0,4700.0,4665.0,4675.0,56261000,BBCA.JK
2018-04-04,3756.330810546875,4660.0,4700.0,4605.0,4700.0,49877000,BBCA.JK
2018-04-05,3716.02734375,4610.0,4700.0,4610.0,4700.0,22521500,BBCA.JK
2018-04-06,3663.63232421875,4545.0,4625.0,4520.0,4625.0,47941500,BBCA.JK
2018-04-09,3671.693115234375,4555.0,4580.0,4515.0,4570.0,51013000,BBCA.JK
2018-04-10,3756.330810546875,4660.0,4690.0,4560.0,4575.0,79533500,BBCA.JK
2018-04-11,3760.36181640625,4665.0,4730.0,4660.0,4700.0,41891500,BBCA.JK
2018-04-12,3732.14892578125,4630.0,4665.0,4610.0,4665.0,45957000,BBCA.JK
2018-04-13,3719.9658203125,4580.0,4630.0,4580.0,4620.0,70179500,BBCA.JK
2018-04-16,3719.9658203125,4580.0,4580.0,4580.0,4580.0,0,BBCA.JK
2018-04-17,3719.9658203125,4580.0,4580.0,4580.0,4580.0,0,BBCA.JK
2018-04-18,3732.148681640625,4595.0,4595.0,4545.0,4565.0,43716000,BBCA.JK
2018-04-19,3732.148681640625,4595.0,4595.0,4595.0,4595.0,0,BBCA.JK
2018-04-20,3732.148681640625,4595.0,4595.0,4595.0,4595.0,0,BBCA.JK
2018-04-23,3736.2099609375,4600.0,4640.0,4585.0,4640.0,46236000,BBCA.JK
2018-04-24,3724.02685546875,4585.0,4625.0,4575.0,4620.0,72223500,BBCA.JK
2018-04-25,3724.02685546875,4585.0,4585.0,4585.0,4585.0,0,BBCA.JK
2018-04-26,3724.02685546875,4585.0,4585.0,4585.0,4585.0,0,BBCA.JK
2018-04-27,3724.02685546875,4585.0,4585.0,4585.0,4585.0,0,BBCA.JK
2018-04-30,3590.0107421875,4420.0,4480.0,4290.0,4300.0,90414000,BBCA.JK
2018-05-01,3590.0107421875,4420.0,4420.0,4420.0,4420.0,0,BBCA.JK
2018-05-02,3719.9658203125,4580.0,4580.0,4420.0,4420.0,82346000,BBCA.JK
2018-05-03,3622.49951171875,4460.0,4575.0,4460.0,4560.0,138704500,BBCA.JK
2018-05-04,3577.82763671875,4405.0,4465.0,4400.0,4460.0,74133500,BBCA.JK
2018-05-07,3622.49951171875,4460.0,4460.0,4360.0,4410.0,49054500,BBCA.JK
2018-05-08,3577.82763671875,4405.0,4405.0,4340.0,4400.0,70739000,BBCA.JK
2018-05-09,3719.9658203125,4580.0,4580.0,4305.0,4305.0,72094000,BBCA.JK
2018-05-10,3719.9658203125,4580.0,4580.0,4580.0,4580.0,0,BBCA.JK
2018-05-11,3695.599609375,4550.0,4610.0,4510.0,4550.0,80000500,BBCA.JK
2018-05-14,3732.148681640625,4595.0,4595.0,4465.0,4490.0,57370500,BBCA.JK
2018-05-15,3606.2548828125,4440.0,4540.0,4400.0,4535.0,130583000,BBCA.JK
2018-05-16,3634.68310546875,4475.0,4480.0,4380.0,4380.0,87185000,BBCA.JK
2018-05-17,3573.766357421875,4400.0,4455.0,4400.0,4440.0,84030500,BBCA.JK
2018-05-18,3525.033203125,4340.0,4405.0,4340.0,4400.0,88681000,BBCA.JK
2018-05-21,3516.91162109375,4330.0,4345.0,4295.0,4310.0,82237000,BBCA.JK
2018-05-22,3573.766357421875,4400.0,4420.0,4340.0,4390.0,62761000,BBCA.JK
