Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2018-01-01,2456.602294921875,4000.0,4000.0,4000.0,4000.0,0,BMRI.JK
2018-01-02,2410.541015625,3925.0,4025.0,3912.5,3987.5,59351600,BMRI.JK
2018-01-03,2364.4794921875,3850.0,3925.0,3825.0,3925.0,84278000,BMRI.JK
2018-01-04,2402.8642578125,3912.5,3912.5,3862.5,3875.0,90123000,BMRI.JK
2018-01-05,2402.8642578125,3912.5,3925.0,3862.5,3862.5,75378600,BMRI.JK
2018-01-08,2433.57177734375,3962.5,3975.0,3912.5,3937.5,73784000,BMRI.JK
2018-01-09,2425.894775390625,3950.0,4000.0,3887.5,3987.5,67352000,BMRI.JK
2018-01-10,2425.894775390625,3950.0,3962.5,3900.0,3962.5,68746400,BMRI.JK
2018-01-11,2479.6328125,4037.5,4037.5,3962.5,3962.5,89346200,BMRI.JK
2018-01-12,2487.31005859375,4050.0,4125.0,4000.0,4037.5,84306400,BMRI.JK
2018-01-15,2518.017578125,4100.0,4100.0,4025.0,4075.0,38412200,BMRI.JK
2018-01-16,2525.6943359375,4112.5,4150.0,4075.0,4075.0,46720000,BMRI.JK
2018-01-17,2487.31005859375,4050.0,4112.5,4012.5,4112.5,56945400,BMRI.JK
2018-01-18,2494.986572265625,4062.5,4087.5,4025.0,4075.0,53685800,BMRI.JK
2018-01-19,2479.6328125,4037.5,4087.5,4025.0,4087.5,50158600,BMRI.JK
2018-01-22,2479.6328125,4037.5,4075.0,4025.0,4075.0,91243800,BMRI.JK
2018-01-23,2510.340576171875,4087.5,4087.5,4037.5,4087.5,111192600,BMRI.JK
2018-01-24,2533.37158203125,4125.0,4125.0,4075.0,4100.0,84633200,BMRI.JK
2018-01-25,2502.663818359375,4075.0,4137.5,4037.5,4125.0,65155800,BMRI.JK
2018-01-26,2518.017578125,4100.0,4125.0,4062.5,4100.0,69599800,BMRI.JK
2018-01-29,2510.340576171875,4087.5,4125.0,3950.0,4112.5,101413600,BMRI.JK
2018-01-30,2471.9560546875,4025.0,4050.0,3987.5,4037.5,102154200,BMRI.JK
2018-01-31,2502.663818359375,4075.0,4087.5,3975.0,3987.5,79788400,BMRI.JK
2018-02-01,2518.017578125,4100.0,4125.0,4062.5,4100.0,72274400,BMRI.JK
2018-02-02,2494.986572265625,4062.5,4112.5,4062.5,4100.0,60042800,BMRI.JK
2018-02-05,2494.986572265625,4062.5,4075.0,3987.5,4025.0,63620600,BMRI.JK
2018-02-06,2464.279296875,4012.5,4050.0,3962.5,4000.0,92415600,BMRI.JK
2018-02-07,2494.986572265625,4062.5,4075.0,4037.5,4050.0,57427400,BMRI.JK
2018-02-08,2510.340576171875,4087.5,4125.0,4025.0,4100.0,79067200,BMRI.JK
2018-02-09,2525.6943359375,4112.5,4112.5,4025.0,4037.5,211953600,BMRI.JK
2018-02-12,2518.017578125,4100.0,4125.0,4037.5,4112.5,72517000,BMRI.JK
2018-02-13,2541.048095703125,4137.5,4150.0,4100.0,4100.0,75870600,BMRI.JK
2018-02-14,2548.725341796875,4150.0,4162.5,4112.5,4150.0,26730800,BMRI.JK
2018-02-15,2548.725341796875,4150.0,4187.5,4075.0,4187.5,65557000,BMRI.JK
2018-02-16,2548.725341796875,4150.0,4150.0,4150.0,4150.0,0,BMRI.JK
2018-02-19,2602.463134765625,4237.5,4237.5,4137.5,4175.0,49342200,BMRI.JK
2018-02-20,2779.03125,4525.0,4525.0,4212.5,4262.5,79298400,BMRI.JK
2018-02-21,2702.262451171875,4400.0,4462.5,4375.0,4450.0,83845600,BMRI.JK
2018-02-22,2648.5244140625,4312.5,4437.5,4287.5,4437.5,39301400,BMRI.JK
2018-02-23,2625.493896484375,4275.0,4350.0,4250.0,4287.5,62711800,BMRI.JK
2018-02-26,2548.725341796875,4150.0,4300.0,4150.0,4300.0,66541400,BMRI.JK
2018-02-27,2587.109130859375,4212.5,4262.5,4162.5,4212.5,92994400,BMRI.JK
2018-02-28,2548.725341796875,4150.0,4237.5,4150.0,4237.5,81356600,BMRI.JK
2018-03-01,2571.755615234375,4187.5,4225.0,4162.5,4200.0,50682200,BMRI.JK
2018-03-02,2602.463134765625,4237.5,4237.5,4112.5,4162.5,49761400,BMRI.JK
2018-03-05,2525.6943359375,4112.5,4212.5,4100.0,4187.5,44376600,BMRI.JK
2018-03-06,2471.9560546875,4025.0,4150.0,4000.0,4137.5,77337000,BMRI.JK
2018-03-07,2433.57177734375,3962.5,4062.5,3850.0,4012.5,116997600,BMRI.JK
2018-03-08,2487.31005859375,4050.0,4087.5,4000.0,4000.0,86635600,BMRI.JK
2018-03-09,2487.31005859375,4050.0,4087.5,4000.0,4025.0,46391000,BMRI.JK
2018-03-12,2556.402099609375,4162.5,4162.5,4075.0,4100.0,78310600,BMRI.JK
2018-03-13,2510.340576171875,4087.5,4137.5,4025.0,4112.5,79622600,BMRI.JK
2018-03-14,2518.017578125,4100.0,4112.5,3987.5,4112.5,41997000,BMRI.JK
2018-03-15,2456.602294921875,4000.0,4087.5,4000.0,4087.5,66507000,BMRI.JK
2018-03-16,2433.57177734375,3962.5,3975.0,3850.0,3950.0,155572000,BMRI.JK
2018-03-19,2479.6328125,4037.5,4062.5,3962.5,4012.5,95158400,BMRI.JK
2018-03-20,2487.31005859375,4050.0,4075.0,3925.0,3975.0,77864800,BMRI.JK
2018-03-21,2518.017578125,4100.0,4112.5,4050.0,4100.0,113297400,BMRI.JK
2018-03-22,2456.602294921875,4000.0,4125.0,3975.0,4125.0,183372000,BMRI.JK
2018-03-23,2471.9560546875,4025.0,4025.0,3850.0,3900.0,90662600,BMRI.JK
2018-03-26,2479.6328125,4037.5,4037.5,3925.0,3925.0,42673400,BMRI.JK
2018-03-27,2456.602294921875,4000.0,4075.0,3975.0,4062.5,55450200,BMRI.JK
2018-03-28,2395.187255859375,3900.0,3987.5,3862.5,3975.0,76203200,BMRI.JK
2018-03-29,2418.513916015625,3837.5,3837.5,3762.5,3825.0,78477600,BMRI.JK
2018-03-30,2418.513916015625,3837.5,3837.5,3837.5,3837.5,0,BMRI.JK
2018-04-02,2465.78125,3912.5,3912.5,3787.5,3787.5,31435200,BMRI.JK
2018-04-03,2457.9033203125,3900.0,3900.0,3837.5,3862.5,47967200,BMRI.JK
2018-04-04,2394.880126953125,3800.0,3912.5,3775.0,3912.5,38287200,BMRI.JK
2018-04-05,2410.63623046875,3825.0,3875.0,3762.5,3875.0,54709000,BMRI.JK
2018-04-06,2379.12451171875,3775.0,3812.5,3750.0,3775.0,45831200,BMRI.JK
2018-04-09,2387.002197265625,3787.5,3825.0,3750.0,3825.0,32505800,BMRI.JK
2018-04-10,2481.537109375,3937.5,3937.5,3775.0,3775.0,87487000,BMRI.JK
2018-04-11,2536.682373046875,4025.0,4037.5,3962.5,3975.0,58578400,BMRI.JK
2018-04-12,2528.804443359375,4012.5,4012.5,3925.0,4000.0,56053600,BMRI.JK
2018-04-13,2528.804443359375,4012.5,4050.0,3962.5,4050.0,33896200,BMRI.JK
2018-04-16,2528.804443359375,4012.5,4012.5,4012.5,4012.5,0,BMRI.JK
2018-04-17,2528.804443359375,4012.5,4012.5,4012.5,4012.5,0,BMRI.JK
2018-04-18,2536.682373046875,4025.0,4025.0,3950.0,3975.0,28595200,BMRI.JK
2018-04-19,2536.682373046875,4025.0,4025.0,4025.0,4025.0,0,BMRI.JK
2018-04-20,2536.682373046875,4025.0,4025.0,4025.0,4025.0,0,BMRI.JK
2018-04-23,2520.926513671875,4000.0,4000.0,3925.0,3937.5,62793000,BMRI.JK
2018-04-24,2434.269775390625,3862.5,4000.0,3862.5,4000.0,49193400,BMRI.JK
2018-04-25,2434.269775390625,3862.5,3862.5,3862.5,3862.5,0,BMRI.JK
2018-04-26,2434.269775390625,3862.5,3862.5,3862.5,3862.5,0,BMRI.JK
2018-04-27,2434.269775390625,3862.5,3862.5,3862.5,3862.5,0,BMRI.JK
2018-04-30,2245.199951171875,3562.5,3575.0,3437.5,3500.0,94666400,BMRI.JK
2018-05-01,2245.199951171875,3562.5,3562.5,3562.5,3562.5,0,BMRI.JK
2018-05-02,2268.833984375,3600.0,3612.5,3487.5,3562.5,53590000,BMRI.JK
2018-05-03,2158.543212890625,3425.0,3587.5,3425.0,3575.0,104380400,BMRI.JK
2018-05-04,2087.64208984375,3312.5,3450.0,3300.0,3425.0,54995600,BMRI.JK
2018-05-07,2142.78759765625,3400.0,3437.5,3300.0,3300.0,66820800,BMRI.JK
2018-05-08,2142.78759765625,3400.0,3412.5,3337.5,3400.0,106457400,BMRI.JK
2018-05-09,2260.955810546875,3587.5,3587.5,3362.5,3362.5,111977600,BMRI.JK
2018-05-10,2260.955810546875,3587.5,3587.5,3587.5,3587.5,0,BMRI.JK
2018-05-11,2268.833984375,3600.0,3737.5,3575.0,3625.0,103564000,BMRI.JK
2018-05-14,2268.833984375,3600.0,3650.0,3475.0,3650.0,73256600,BMRI.JK
2018-05-15,2158.543212890625,3425.0,3600.0,3400.0,3500.0,117942000,BMRI.JK
2018-05-16,2158.543212890625,3425.0,3437.5,3300.0,3350.0,171743000,BMRI.JK
2018-05-17,2111.2763671875,3350.0,3500.0,3350.0,3475.0,108035800,BMRI.JK
2018-05-18,2142.78759765625,3400.0,3450.0,3325.0,3387.5,73179600,BMRI.JK
2018-05-21,2103.39794921875,3337.5,3387.5,3300.0,3362.5,93035200,BMRI.JK
2018-05-22,2056.13037109375,3262.5,3387.5,3262.5,3375.0,95244600,BMRI.JK
2018-05-23,2134.909912109375,3387.5,3437.5,3300.0,3300.0,98477800,BMRI.JK
2018-05-24,2205.810791015625,3500.0,3537.5,3425.0,3500.0,105512200,BMRI.JK
2018-05-25,2205.810791015625,3500.0,3537.5,3475.0,3525.0,87283000,BMRI.JK
2018-05-28,2323.9794921875,3687.5,3712.5,3550.0,3575.0,129253400,BMRI.JK
2018-05-29,2323.9794921875,3687.5,3687.5,3687.5,3687.5,0,BMRI.JK
2018-05-30,2284.58984375,3625.0,3812.5,3575.0,3612.5,170628800,BMRI.JK
2018-05-31,2221.56640625,3525.0,3700.0,3512.5,3700.0,211020800,BMRI.JK
2018-06-01,2221.56640625,3525.0,3525.0,3525.0,3525.0,0,BMRI.JK
2018-06-04,2323.9794921875,3687.5,3712.5,3550.0,3550.0,80221000,BMRI.JK
2018-06-05,2316.101318359375,3675.0,3725.0,3637.5,3725.0,73520200,BMRI.JK
